Cell,Layer,Calb1_nuc,Pvalb_nuc,Grik1_nuc,Calb1_cyto,Pvalb_cyto,Grik1_cyto
14,4,23,1,7,26,0,6
15,4,15,1,7,8,2,3
16,4,4,0,10,16,4,5
17,4,16,3,11,27,2,8
18,4,13,2,6,15,2,5
19,4,11,4,7,13,1,3
20,4,5,3,13,26,7,3
21,4,1,17,12,0,41,3
22,4,1,3,2,0,75,4
23,4,1,4,11,2,45,2
24,4,1,34,9,0,34,0
25,4,1,31,7,2,78,4
26,4,9,2,5,10,3,1
27,4,4,1,15,4,2,4
28,4,11,3,11,14,7,2
29,4,5,1,4,2,7,6
30,4,6,7,10,4,6,11
31,4,2,5,7,11,4,4
32,4,7,2,6,10,4,3
33,4,9,1,6,9,1,2
34,4,4,3,6,7,2,1
35,4,6,1,8,28,0,1
84,4,1,2,3,21,4,6
1,5,2,31,18,3,46,7
2,5,1,17,15,1,29,3
3,5,1,14,7,4,54,7
4,5,0,11,4,1,14,2
5,5,1,28,11,0,77,8
6,5,1,23,10,1,80,12
7,5,3,29,7,0,45,2
8,5,6,18,5,20,53,2
9,5,3,25,24,11,36,6
10,5,2,14,14,1,12,6
11,5,1,20,17,2,46,8
12,5,20,10,11,27,47,7
13,5,37,5,18,59,1,9
36,5,5,1,3,23,12,3
37,5,0,26,16,0,93,13
38,5,1,10,8,0,31,5
39,5,15,3,11,23,5,9
40,5,7,3,5,40,11,7
41,5,17,0,18,28,2,13
42,5,6,2,8,37,0,6
43,5,1,0,30,0,2,18
44,5,10,2,6,30,9,10
45,5,0,2,25,0,0,18
46,5,4,2,9,13,9,8
47,5,18,6,7,39,8,5
48,5,18,10,10,43,46,14
49,5,0,5,8,2,6,10
50,5,7,1,5,12,8,8
51,5,3,3,7,19,10,6
52,5,0,15,9,0,40,9
53,5,11,7,6,40,55,11
54,5,11,0,15,34,0,11
55,5,0,6,5,1,19,11
56,5,3,3,8,0,24,13
57,5,0,9,6,10,29,10
58,5,1,4,17,3,30,14
59,5,2,1,9,2,3,12
60,5,0,3,15,0,19,18
61,5,0,12,11,1,37,12
62,5,3,1,3,19,9,13
63,5,7,0,12,16,1,9
64,5,13,4,9,28,10,15
65,5,16,18,13,81,78,10
66,5,8,2,9,25,10,16
67,5,11,2,14,24,4,9
68,5,6,2,9,10,3,15
69,5,0,42,11,1,79,10
70,5,13,0,21,23,8,18
71,5,3,9,6,32,75,3
72,5,5,4,9,6,4,2
73,5,3,3,5,2,6,2
74,5,3,0,11,28,3,5
75,5,1,1,10,3,8,11
76,5,1,1,13,1,2,15
77,5,0,1,13,0,3,39
78,5,0,1,31,0,5,18
79,5,11,2,10,12,8,13
80,5,1,4,13,10,5,4
81,5,1,3,13,4,7,11
82,5,3,4,14,7,4,7
83,5,0,3,10,1,53,7
85,5_6,0,5,3,0,41,3
86,5_6,7,1,8,1,9,33
87,5_6,0,8,6,0,60,6
88,5_6,0,6,5,0,62,23
89,5_6,0,27,7,0,91,10
90,5_6,33,0,6,82,3,10
91,5_6,1,0,2,0,90,4
92,5_6,4,7,7,35,5,3
93,5_6,3,1,8,23,4,3
94,5_6,1,5,10,3,190,17
95,5_6,3,51,7,3,218,8
96,5_6,1,22,5,3,146,12
97,5_6,2,17,9,2,179,10
